DATE,COUNTRY,STATE,CITY,SUBREGION,REGION,PERPETRATOR,INJURED,DEAD,DESCRIPTION,COORDINATES,CATEGORY,Year
12/19/2016,Turkey,Ankara Province,Ankara,Western Asia,Asia,Army of Conquest,3,1,A gunman killed Russian ambassador in Turkey and 3 bystanders were also injured. ,"39.9207886,32.8540482",Assault,2016
12/19/2016,Germany,Berlin,Berlin,Western Europe,Europe,Islamic State,56,12,"12 people have died after a truck ploughed into a Christmas market in Berlin, German police have said. The Islamic State claimed responsibility for the attack. ","52.5170365,13.3888599",,2016
12/18/2016,Yemen,'Adan Governorate,Aden,Western Asia,Asia,Islamic State,63,52,At least 52 Yemeni soldiers collecting their salaries at a base in northeast Aden were killed when a suicide bomber detonated. ,"12.833333,44.916667",Explosion,2016
12/18/2016,Jordan,,,Western Asia,Asia,Islamic State,37,16,"Insurgents attacked police and civilians in Al Karak, Jordan, then took shelter in the Kerak Castle. 12 people were killed and 35 were injured, most of whom were Jordanian security forces and civilians. A Canadian tourist was also killed. ","31.1667049,36.941628",,2016
12/17/2016,Turkey,Kayseri Province,Kayseri,Western Asia,Asia,Kurdistan Freedom Falcons,55,14,A suspected car bombing killed 14 soldiers aboard a bus and wounded at least 55 others. ,"38.6582232,35.5546374",Explosion,2016
12/16/2016,Burkina Faso,,,Western Africa,Africa,Ansar ul Islam,0,12,"Several dozen heavily armed gunmen attacked an army outpost near the border with Mali, leaving at least 12 soldiers dead and 2 others missing. ","12.0753083,-1.6880314",Assault,2016
12/11/2016,Somalia,Banaadir,Mogadishu,Eastern Africa,Africa,Al Shabaab,50,29,At least 29 people died and another 50 were injured in a suicide bombing attack on a police station near Mogadishu's port. ,"2.0349312,45.3419183",Explosion,2016
12/11/2016,Egypt,Cairo Governorate,Cairo,Northern Africa,Africa,Islamic State,47,27,At least 27 people were killed and 47 injured after an explosion in a Coptic cathedral in Cairo. ,"30.0443879,31.2357257",Explosion,2016
12/10/2016,Yemen,'Adan Governorate,Aden,Western Asia,Asia,Islamic State,70,50,50 Yemeni soldiers were killed and another 70 were injured in a suicide bombing attack. ,"12.833333,44.916667",Explosion,2016
12/10/2016,Turkey,Istanbul Province,Istanbul,Western Asia,Asia,Kurdistan Freedom Falcons,155,46,Two bombs killed 44 and injured at least 155 people in Istanbul. ,"41.0091982,28.9662187",Explosion,2016
12/9/2016,Nigeria,Adamawa,Madagali,Western Africa,Africa,Boko Haram,177,57,Officials say 2 explosions in Madagali a town Nigeria have killed 57 and injured 177. ,"10.786603,13.488551266407342",Explosion,2016
11/29/2016,India,Jammu and Kashmir,,Southern Asia,Asia,Jaish-e-Mohammad (JeM),0,10,"The Indian Army base in Nagrota, in the Jammu district of the erstwhile Indian state of Jammu and Kashmir was attacked on 29 November 2016 by a group of Islamist militants. During the ensuing gun battle, seven Indian soldiers, including two officers and all three militants were killed.","34.0747444,74.8204443",Assault,2016
11/29/2016,India,Jammu and Kashmir,,Southern Asia,Asia,Taliban,0,7,Terrorists launch an attack on an Indian Army base in the town of Nagrota. At least 7 soldiers and 3 insurgents die in the attack. ,"34.0875109,73.97459205250519",,2016
11/28/2016,United States,Ohio,Columbus,Northern America,Americas,Abdul Razak Ali Artan,11,0,A man named Abdul Razak Ali Artan rammed his car into a group of students at the Ohio State University. The perpetrator then proceeded to stab several others with a knife. Artan was killed on scene and was confirmed to be an OSU student and Somali refugee. The Islamic State claimed responsibility for the attack. Law enforcement officials stated that Artan was inspired by terrorist propaganda from the Islamic State and Muslim cleric Anwar al Awlaki. ,"39.9622601,-83.0007065",Assault,2016
11/26/2016,Somalia,Banaadir,Mogadishu,Eastern Africa,Africa,Al Shabaab,0,20,At least 20 people were killed by the explosion of a car bomb near a market in the Somali capital Mogadishu. ,"2.0349312,45.3419183",Explosion,2016
11/26/2016,Philippines,Autonomous Region in Muslim Mindanao,Butig,South-Eastern Asia,Asia,Maute Group,30,0,"The Maute Group briefly seized control of parts of Butig town in Lanao del Sur, in retaliation of an offensive launched by the Armed Forces of the Philippines. Government forces killed at least 63 militants and recaptured the town. ","7.7436836,124.3132473",,2016
11/24/2016,Iraq,,,Western Asia,Asia,Islamic State,95,125,A truck bomb killed at least 125 people in Hillah city ,"33.0955793,44.1749775",Explosion,2016
11/21/2016,Afghanistan,Kabul,,Southern Asia,Asia,Islamic State,35,30,At least 30 people have been killed and another 35 were injured in a suicide bombing at a Kabul mosque. ,"34.5260109,69.1776838",Explosion,2016
11/13/2016,Indonesia,East Kalimantan,Samarinda,South-Eastern Asia,Asia,Islamic State,4,1,Indonesian police say an explosion outside a church on Borneo has wounded 4 children. Indonesian police said that 1 of 4 young children injured has died. ,"-0.5017804,117.1393089",Explosion,2016
11/12/2016,Pakistan,Balochistan,Khuzdar,Southern Asia,Asia,Islamic State,102,55,"At least 55 people including women and children have been killed and above 100 injured when a suicide bomber went off in the crowded Shah Noorani Shrine in Hub town, Lasbela District, Balochistan, Pakistan. ","27.8000135,66.6166537",Explosion,2016
11/12/2016,Afghanistan,,,Southern Asia,Asia,Taliban,16,5,A suicide bomber exploded outside the American air base in Bagram killing at least 4 person and injuring dozens more. ,"33.7680065,66.2385139",Explosion,2016
11/10/2016,Afghanistan,,,Southern Asia,Asia,Taliban,119,6,A truck bomb exploded outside the German consulate in Mazar i Sharif killing at least 4 people and injuring dozens more. The Taliban claimed responsibility. ,"33.7680065,66.2385139",Explosion,2016
11/8/2016,Iraq,Nineveh Governorate,Mosul,Western Asia,Asia,Islamic State,0,300,Islamic State killed at least 300 civilians in retaliation against individuals that refused to fight for ISIL. ,"36.343694049999996,43.099715597302286",,2016
11/4/2016,Turkey,,,Western Asia,Asia,Islamic State,100,11,Turkish media has reported an explosion in Turkey's largest mainly Kurdish city of Diyarbakir. ,"38.9597594,34.9249653",Explosion,2016
10/24/2016,Pakistan,Balochistan,Quetta,Southern Asia,Asia,Islamic State,117,62,At least 5 militants stormed a police training center in Quetta and took between 200 and 500 cadets hostage. ,"30.1957677,67.0172447",Hostage,2016
10/16/2016,Germany,Hamburg,Hamburg,Western Europe,Europe,Islamic State,1,1,"The Islamic State claimed responsibility for an attack that left 1 16 year old dead and another, a 15 year old, injured in Hamburg. ","53.550341,10.000654",,2016
10/15/2016,Iraq,Baghdad Governorate,Baghdad,Western Asia,Asia,Islamic State,44,53,"Suicide bomber targets mourning tent in Baghdad, kills 41. ","33.3024309,44.3787992",Explosion,2016
10/9/2016,Turkey,,,Western Asia,Asia,Kurdistan Workers' Party (PKK),27,15,A bomb killed at least 18 people including 8 civilians and 10 soldiers and another 27 people were wounded. ,"38.9597594,34.9249653",Explosion,2016
10/9/2016,Israel,,,,,,6,2,"A Palestinian lone wolf attacker arrived at a tram stop in his car and shot ""randomly"" at passers by. A 60 year old woman and a police officer were killed; the attacker himself was pursued by police and later shot dead. At least 6 other injuries were incurred and the attack is believed to be a ""terrorist incident"". ","31.5313113,34.8667654",,2016
10/6/2016,Turkey,Istanbul Province,Istanbul,Western Asia,Asia,Kurdistan Workers' Party (PKK),10,0,"An explosion, which was caused by a car bomb near a police station in Istanbul making 10 injured. ","41.0091982,28.9662187",Explosion,2016
10/5/2016,Belgium,Brussels-Capital Region,Brussels,Western Europe,Europe,Islamic State,3,0,"On 5 October 2016, 3 police officers were attacked by a man wielding a machete in the Schaerbeek neighborhood of Brussels, Belgium. Two of them suffered stab wounds, while the third was physically assaulted but otherwise uninjured. However, their injuries are not believed to be life threatening. Several stations in Brussels and the anti terrorism prosecution office was also evacuated due to an ongoing bomb alert. Many businesses were closed and there was major travel disruption. ","50.8465573,4.351697","Assault,Explosion",2016
9/18/2016,India,Jammu and Kashmir,Uri,Southern Asia,Asia,,30,19,Seventeen Indian soldiers were killed by suspected rebels in an attack against a base in Indian Kashmir. ,"34.0875109,73.97459205250519",,2016
9/17/2016,United States,Alabama,York,Northern America,Americas,Ahmad Khan Rahami,32,0,"Around 9:30 am, a pipe bomb exploded in a trash can in Seaside Park, New Jersey, but no 1 was injured. Later that day, at around 8:30 pm, a homemade pressure cooker bomb exploded in the Chelsea neighborhood of Manhattan, injuring 29 people. A second pressure cooker bomb was promptly discovered 4 blocks away, but did not detonate. The following day, 2 homeless men discovered a backpack containing several pipe bombs, similar to the 1 that exploded in Seaside Park, in Elizabeth, New Jersey. On September 19, the perpetrator of the attacks, Ahmad Khan Rahami, was captured in Linden, New Jersey after a shootout with police forces which left 3 officers and Rahami wounded. ","39.9624624,-76.727707",Explosion,2016
9/16/2016,Pakistan,,,Southern Asia,Asia,Jamaat-ul-Ahrar,28,30,"A suicide bomber attacked a Sunni mosque in northwest Pakistan, killing at least 30 worshippers and wounding 28 others, officials said. Several children were also among those killed or wounded in the deadly attack. A breakaway Taliban group later claimed responsibility for the bombing. ","30.3308401,71.247499",Explosion,2016
9/10/2016,Iraq,Baghdad Governorate,Baghdad,Western Asia,Asia,Islamic State,60,40,"Two car bombs exploded outside a crowded shopping center, killing at least 40 people, and wounding 60 more. Most of the victims were Shi'a Muslims. The attack was claimed by Islamic State. ","33.3024309,44.3787992",Explosion,2016
9/5/2016,Afghanistan,Kabul,,Southern Asia,Asia,Taliban,109,58,At least 58 people died in a double suicide attack in rush hour near the Ministry of Defence. Ninety 1 people were also injured. ,"34.5260109,69.1776838",,2016
9/5/2016,Syria,,,Western Asia,Asia,Islamic State,0,2,"A car bomb detonated on a coastal highway in Tartus, killing more than 5 people, followed by a suicide bomber exploding in the crowd gathering in the area. A car bomb then hit a Syrian Army checkpoint in the Zahra district of Homs and killed 2 soldiers. A motorcycle bomb detonated near an Asayish checkpoint in Hasakah and killed at least 5 people, with an explosion in the capital city of Damascus following soon after. ","34.6401861,39.0494106",Explosion,2016
9/2/2016,Philippines,Davao Region,Davao,South-Eastern Asia,Asia,Islamic State,70,15,At least 15 people were killed and 60 more injured after a bomb exploded at a night market. ,"7.0648306,125.6080623",Explosion,2016
8/30/2016,Kyrgyzstan,Bishkek,,Central Asia,Asia,East Turkistan Islamic Movement,3,0,"A car rammed through the gates of the Chinese Embassy in Bishkek and exploded, killing the driver and injuring at least 3 more people. ","42.8765615,74.6070079",Explosion,2016
8/29/2016,Yemen,'Adan Governorate,Aden,Western Asia,Asia,Islamic State,0,71,At least 71 people were killed in a suicide car bombing at a military facility in the southern Yemen city of Aden. ,"12.833333,44.916667",Explosion,2016
8/24/2016,Afghanistan,Kabul,,Southern Asia,Asia,Taliban,50,17,At least 17 people were killed and 50 more wounded in a bombing and shooting at the American University of Afghanistan in Kabul. The Taliban is believed to be behind the attack. ,"34.5260109,69.1776838","Assault,Explosion",2016
8/21/2016,Somalia,,,Eastern Africa,Africa,Al Shabaab,30,20,An al Shabaab double suicide car bombing killed at least 20 people in the city of Galkayo in Somalia's semi autonomous Puntland region. ,"8.3676771,49.083416",Explosion,2016
8/20/2016,Turkey,Gaziantep Province,Gaziantep,Western Asia,Asia,Islamic State,66,54,"A suicide bomb attack at a Kurdish wedding ceremony near the Syrian border killed at least 50 and injured 94. The suicide bomber was aged 12 to 14, reports say. ","37.0628317,37.3792617",Explosion,2016
8/17/2016,Russia,Moscow,,Eastern Europe,Europe,Islamic State of Iraq and the Levant (ISIL),1,1,"Two men with firearms and axes attacked the police station on 20th kilometer of Shchelkovo Highway near Moscow. Two traffic police officers were seriously injured, 1 of them died in the hospital. ","55.7504461,37.6174943",,2016
8/15/2016,Syria,Idlib Governorate,Idlib,Western Asia,Asia,,50,50,"At least 32 people were killed in a suicide bombing on a bus in Syria's northwestern Idlib province late Sunday, according to local sources. A bomber blew himself up on a bus carrying opposition fighters at the entrance of Atmeh camp, the sources told Anadolu Agency. ","35.8600391,36.57109063293224",Explosion,2016
8/14/2016,Congo,,,,,Militia,0,0,"Policemen intervened in a terrorist attack by a militia. 11 policemen were killed and 8 terrorists were also killed, with 40 militants being captured. The leader of the militia was also killed. Four policemen went missing. ","-2.9814344,23.8222636",,2016
8/12/2016,Thailand,Prachuap Khiri Khan,Hua Hin,South-Eastern Asia,Asia,Islamic extremists,4,1,"Three explosions occurred in Hua Hin on 12 August, killing 1 and injuring at least 4 others. ","12.5672395,99.954586",Explosion,2016
8/12/2016,Thailand,Trang,,South-Eastern Asia,Asia,Islamic extremists,0,1,A bombing occurred in Trang. ,"7.5892935,99.5032004",Explosion,2016
8/11/2016,Thailand,Prachuap Khiri Khan,Hua Hin,South-Eastern Asia,Asia,Islamic extremists,23,1,"Two bombs exploded in Hua Hin at about 10:20p.m. local time on 11 August. One Thai woman selling fruit on the street was killed and 23 people, including 12 foreigners, were injured. The injured include 2 English, 2 Dutch, 1 German and 7 from Austria and Italy. ","12.5672395,99.954586",Explosion,2016
8/8/2016,Pakistan,Balochistan,Quetta,Southern Asia,Asia,Taliban,130,93,"A suicide bomb attack killed at least 93 people and wounded dozen others at a hospital in Quetta in southwest Pakistan, and injured around 120 more. ","30.1957677,67.0172447",Explosion,2016
8/6/2016,Belgium,Wallonia,Charleroi,Western Europe,Europe,Islamic State,2,0,Two policewomen were attacked by man wielding a machete and shouting 'Allahu Akbar' in the Belgian city of Charleroi. The assailant was shot and killed by a third officer. ,"50.4120332,4.4436244",,2016
8/5/2016,India,Assam,Kokrajhar,Southern Asia,Asia,National Democratic Front of Bodoland (NDFB),15,14,"6 terrorists, suspected to be Bodo militants, attacked the Balajan Tinali market area in the city of Kokrajhar in Assam with AK 47s and grenades, killing 14 and injuring 15. ","26.58687695,90.29293105124796",Explosion,2016
8/1/2016,Afghanistan,Kabul,,Southern Asia,Asia,Taliban,4,1,A massive truck bomb exploded outside a hotel popular with foreigners in Kabul at around 1:30a.m. local time. The blast was heard throughout the city and much of the city had lost power shortly before the blast. Four gunmen tried to storm the hotel but engaged in a shootout with security forces killing 1 person and injuring four. Three of the 4 attackers also died. The Taliban claimed responsibility. ,"34.5260109,69.1776838","Assault,Explosion",2016
7/31/2016,Armenia,Yerevan,,Western Asia,Asia,Daredevils of Sassoun,77,3,"About 20 gunmen took control of a police station, killing 2 officers. 77 people were injured and 100 others were arrested. 3 gunmen were also injured. Hostages were taken. The gunmen surrendered on July 31, 2 weeks after seizing the police station. ","40.1776245,44.5126174","Assault,Hostage",2016
7/27/2016,Syria,,,,,Islamic State,171,57,A terrorist detonated his van packed with explosives at a checkpoint in the Kurdish city of Qamishli. At least 48 were killed and 140 were wounded ,"34.6401861,39.0494106",Explosion,2016
7/26/2016,France,,,,,Islamic State,1,1,Two assailants killed a priest and seriously wounded a woman in a church in Saint tienne du Rouvray. The 2 assailants were killed by French Special Forces. Islamic State claimed responsibility for the attack. ,"46.603354,1.8883335",,2016
7/24/2016,Germany,Bavaria,Ansbach,Western Europe,Europe,Islamic State,12,0,"A 27 year old Syrian refugee detonated a bomb at a wine bar in Ansbach, killing only himself, but wounding 12 civilians. He had previously been denied entry to a nearby music festival. Authorities found a recorded video message on the attacker's phone, pledging his allegiance the Islamic State. ","49.3028611,10.5722288",Explosion,2016
7/23/2016,Afghanistan,Kabul,,Southern Asia,Asia,Islamic State,260,80,"Two suicide bombers targeted ethnic Hazaras at a rally in Kabul, killing over 80 people and wounding at least 230 more. Islamic State later claimed responsibility for the attack. ","34.5260109,69.1776838",Explosion,2016
7/22/2016,Germany,Bavaria,Munich,Western Europe,Europe,David Sonboly,36,9,"A gunman opened fire on a shopping mall, killing 9 before committing suicide. 36 people were wounded, 4 by gunfire. The shooter was a bullied man who was said to be obsessed with mass shootings. The massacre was conducted on the anniversary of the 2011 Norway attacks. The suspect was described as being a ""very nationalistic"" racist, with him boasting about similarities with Adolf Hitler. ","48.1371079,11.5753822",Assault,2016
7/18/2016,Mali,,,,,Macina Liberation Front AQIM Ethnic Peul militants,35,17,"Gunmen attacked a Malian Army base near the town of Nampala in central Mali, close to the border with Mauritania. ","16.3700359,-2.2900239",Assault,2016
7/18/2016,Kazakhstan,Almaty,,Central Asia,Asia,Ruslan Kulikbayev,10,10,"Six people were killed, and 8 others were injured following an attack on a police station in Almaty, Kazakhstan's largest city. One of the attackers has been detained. ","43.21833055,76.91925238619355",,2016
7/18/2016,Germany,,,Western Europe,Europe,Islamic State,5,0,"5 people were injured, 2 of them critically, when a 17 year old Afghan asylum seeker attacked passengers on a train with an axe and a knife. The attacker was killed by police. ","51.0834196,10.4234469",Assault,2016
7/14/2016,France,Provence-Alpes-Côte d'Azur,Nice,Western Europe,Europe,Islamic State,434,86,"On the evening of 14 July 2016, a 19 tonne cargo truck was deliberately driven into crowds celebrating Bastille Day on the Promenade des Anglais in Nice, France, resulting in the deaths of 86 people and injuring 434. ","43.7009358,7.2683912",,2016
7/7/2016,Iraq,Saladin Governorate,Balad,Western Asia,Asia,Islamic State,75,56,At least 56 people were killed and 75 injured after a suicide car bomb blew up at the gate of the Mausoleum of Sayid Mohammed bin Ali al Hadi. Gunmen then entered the mausoleum and started shooting at the people inside. ,"34.00131295,44.152788642134524","Assault,Explosion",2016
7/4/2016,Saudi Arabia,Makkah Region,Jeddah,Western Asia,Asia,Islamic State,7,4,A man blew himself up after police tried to arrest him near the United States consulate in Jeddah. Two Saudi police officers were injured in the blast. ,"21.5810088,39.1653612",Explosion,2016
7/3/2016,Iraq,Baghdad Governorate,Baghdad,Western Asia,Asia,Islamic State,246,346,"At least 346 people were killed, and over 246 injured, in a series of coordinated bomb attacks in Baghdad. Early in the evening of July 3, a large car bomb exploded in the middle of a busy market, killing nearly 346 civilians. ","33.3024309,44.3787992",Explosion,2016
7/1/2016,Bangladesh,Dhaka District,Dhaka,Southern Asia,Asia,Islamic State,50,24,"A number of gunmen attacked a restaurant popular with foreigners in the wealthy Gulshan Thana area of Dhaka. At least 22 civilians, 2 police officers, and 5 attackers were killed in shoot outs and dozens of hostages were taken. ","23.7644025,90.389015","Assault,Hostage",2016
6/28/2016,Malaysia,Kuala Lumpur,,South-Eastern Asia,Asia,Islamic State,8,0,"8 people were injured after a grenade attack on patrons at the Movida nightclub watching a UEFA European Championships match. The attack was initially thought to be gang related or due to a business dispute but was later to be found out to be tied to the Islamic State group. The bombing is believed to be the first IS related attack on Malaysia. According to the Malaysian police, Two people were arrested in July who were ordered by alleged Malaysian IS fighter Muhammad Wanndy Mohamed Jedi. ","3.1516964,101.6942371",Explosion,2016
